R_wall[m];Z_wall[m];Eion[eV];Eatom[eV];ion_flux[m^-2s^-1];atom_flux[m^-2s^-1];net_heat_flux[W/m^2]
1.898751064180870;-0.559145232167066;6.309884018308812;12.260815089299006;0.000000000000000e+00;3.849491032306499e+20;2.354487607559735e+03
1.899782892767768;-0.561202029777665;6.379846187554432;11.845359649116530;0.000000000000000e+00;3.487536736098328e+20;1.938133243685130e+03
1.900470713333912;-0.562575505707771;6.519721153398284;11.448609342646549;0.000000000000000e+00;4.880022033990490e+20;2.363682033180208e+03
1.900917856429855;-0.563469920005558;6.519576120250733;11.578355686385015;0.000000000000000e+00;2.822509519796021e+20;1.781301913941059e+03
1.901547120787964;-0.564718889991008;6.519420547585192;11.958925919484424;0.000000000000000e+00;3.847317419418551e+20;2.260832605618780e+03
1.902490879299628;-0.566599732465646;6.519198228776799;12.234948234214940;0.000000000000000e+00;4.079667753084648e+20;2.311167422112461e+03
1.904049991866097;-0.569711030305720;6.518850634154170;11.919052893226905;0.000000000000000e+00;3.828321142070945e+20;2.280480914676985e+03
1.906650965333245;-0.574897951195134;6.518340557683299;12.258754071851527;0.000000000000000e+00;3.910542719223526e+20;2.544119299487239e+03
1.909138612333337;-0.579804732006498;6.517748057718511;12.750037683101212;0.000000000000000e+00;1.746750574940904e+20;9.582579447389560e+02
1.913344372255543;-0.581504220827839;6.517363804905969;12.246071095538014;2.190007100550862e+18;2.140831738340693e+20;1.171826196903705e+03
1.920879926599230;-0.584540534401926;6.517095623018642;11.500978604939155;1.439778595837825e+18;1.899389652872775e+20;1.086462778417336e+03
1.932142372797574;-0.589062859169188;6.516827441131315;12.377038447177680;2.047021519975890e+18;2.069116145929274e+20;1.111962419419527e+03
1.939859746735088;-0.592184921398401;6.606567957602543;12.712764531217303;8.837832639783739e+18;2.571544458005620e+20;1.206889487464797e+03
1.942647054567498;-0.593310798898072;6.635789364211824;13.343854838343816;3.174042351215804e+18;2.576177672361157e+20;1.275393640805303e+03
1.952887143673528;-0.597449335496870;6.635097265330696;12.946161058671285;3.423865445482740e+18;2.539661388696635e+20;1.357388560162102e+03
1.962150977332605;-0.601169288610778;6.635097265330696;7.989534492137362;0.000000000000000e+00;3.487738132459025e+20;4.726955883724235e+03
1.962340195801191;-0.601245013798519;6.874660172696025;8.744564049236686;1.501364634379187e+19;2.741991711040341e+20;1.662255196202832e+03
1.971525080986474;-0.604944126145198;6.954514475151134;10.467750914161110;1.403623886532524e+19;2.645470821103175e+20;1.424082624343146e+03
