s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
9.790472469651365e-01;2.412350014495419e+22;1.379381576190731e+01;NaN;2.245817556163056e+22;9.634507795918296e+00;NaN;1.013117446143872e+05
9.821062688323220e-01;2.279285879121162e+22;1.368066533414756e+01;NaN;2.131856662383137e+22;9.964921266408290e+00;NaN;9.726980068371366e+04
9.850993436211724e-01;2.153795935915104e+22;1.381025028328461e+01;NaN;2.108229885859797e+22;9.817935037323798e+00;NaN;9.286336431580911e+04
9.880059697726713e-01;2.028688354380342e+22;1.398530909474540e+01;NaN;1.924015151464013e+22;9.643989328063823e+00;NaN;8.600693162857371e+04
9.908165089685672e-01;1.927055387687459e+22;1.398165897080358e+01;NaN;1.870569819627828e+22;9.802922759677703e+00;NaN;8.347517045106593e+04
9.935047455450641e-01;1.859965209926230e+22;1.407282951664566e+01;NaN;1.803411370532889e+22;9.803368016723482e+00;NaN;7.960415915270855e+04
9.955037774448198e-01;1.705668264573258e+22;1.425927497234908e+01;NaN;1.711267783019611e+22;1.016062161573629e+01;NaN;7.523366745424125e+04
9.967416256848396e-01;1.694902890591340e+22;1.366848375377924e+01;NaN;1.626861176399924e+22;1.020638098862027e+01;NaN;7.593617731399377e+04
9.985886656682763e-01;1.612761791768334e+22;1.408373468854229e+01;NaN;1.628066031393511e+22;1.000622416843000e+01;NaN;7.158827009534639e+04
1.001246887649901e+00;1.539301996295018e+22;1.414794947123895e+01;NaN;1.474978915945353e+22;9.844384174332252e+00;NaN;6.648350695151270e+04
1.003996038856501e+00;1.414472756963463e+22;1.451551820777459e+01;NaN;1.471220792234640e+22;9.625812742581511e+00;NaN;6.220906637528117e+04
1.006897629175445e+00;1.299021681812993e+22;1.446706420259995e+01;NaN;1.349744904303019e+22;1.008283943860291e+01;NaN;5.801942511993032e+04
1.010015292564127e+00;1.149664539161373e+22;1.446941352651223e+01;NaN;1.238532328641022e+22;1.020952577482719e+01;NaN;5.402817618855674e+04
1.013360988667060e+00;1.007686055145863e+22;1.452926592125890e+01;NaN;1.221977967055520e+22;1.004197006527494e+01;NaN;4.810962630341957e+04
1.016422055308300e+00;9.321897283195151e+21;1.459969206061750e+01;NaN;1.151424124533401e+22;1.009952122055068e+01;NaN;4.451970894080089e+04
1.018208688761510e+00;9.482242950039519e+21;1.443996722960837e+01;NaN;1.151040378359336e+22;9.869531197936013e+00;NaN;4.429456751074342e+04
1.020406499924258e+00;8.307214382879358e+21;1.496479731560602e+01;NaN;1.034464224156762e+22;1.032762909769942e+01;NaN;4.086137154026986e+04
1.022271080706159e+00;7.966568619284590e+21;1.409188603533746e+01;NaN;1.094071241631115e+22;1.014343662877445e+01;NaN;3.946748676707216e+04
1.024352262275292e+00;7.243924875212486e+21;1.510838565193709e+01;NaN;1.000074548287021e+22;9.954227934495558e+00;NaN;3.664393192929064e+04
1.026360795729067e+00;7.921157891755693e+21;1.606744783827966e+01;NaN;7.788442644127157e+21;1.012742358747637e+01;NaN;3.365201843760587e+04
1.028516562606399e+00;6.134261105402495e+21;1.511660222734413e+01;NaN;8.991637245105627e+21;1.002196771680688e+01;NaN;3.192898359576240e+04
1.030872721695724e+00;6.038645732980625e+21;1.535764221094814e+01;NaN;8.859975448787298e+21;1.094505076766618e+01;NaN;3.007587923270016e+04
1.032946039400920e+00;5.612497937051716e+21;1.528573884236746e+01;NaN;8.854086863657573e+21;1.006605338593231e+01;NaN;2.969315158703120e+04
1.035702904828173e+00;4.074534662196707e+21;1.533199234239580e+01;NaN;8.240020163996889e+21;9.757960829401876e+00;NaN;2.439544310361314e+04
1.038018852774941e+00;4.159454360345948e+21;1.499120150772745e+01;NaN;7.827091667116882e+21;9.790128047183179e+00;NaN;2.402313847668430e+04
1.041123812734894e+00;3.014783413161265e+21;1.562449294197970e+01;NaN;7.091097791112812e+21;9.900261836845283e+00;NaN;1.943762063938627e+04
1.043526328654386e+00;2.739468340636403e+21;1.626055648815877e+01;NaN;7.313049721714359e+21;9.794672999771715e+00;NaN;1.883633513906474e+04
1.046841369894959e+00;1.437992736279986e+21;1.471860584311335e+01;NaN;7.201236581506160e+21;9.731264146629647e+00;NaN;1.332398494413234e+04
1.049616924720746e+00;7.173585115301625e+20;1.207912508898963e+01;NaN;6.809507267695727e+21;8.373413206192817e+00;NaN;8.997584487010874e+03
