s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
1.003996038856501e+00;3.845241144619664e+22;5.380926763254178e+01;NaN;1.392492104832941e+22;2.261819437347316e+01;NaN;3.823609566178425e+05
1.006897629175445e+00;3.405696221313941e+22;5.347809948789335e+01;NaN;1.257850697822968e+22;2.165551195873913e+01;NaN;3.312841281078792e+05
1.010015292564127e+00;3.076384281059418e+22;5.171320099035169e+01;NaN;1.192339795101584e+22;2.262257423947474e+01;NaN;2.910705015543572e+05
1.013360988667060e+00;2.744254763781917e+22;5.133940177618972e+01;NaN;1.078192919578253e+22;2.350832121451047e+01;NaN;2.513787314106979e+05
1.016422055308300e+00;2.408498196447371e+22;4.988665779296342e+01;NaN;9.836239838963103e+21;2.108369417168689e+01;NaN;2.192546198521352e+05
1.018208688761510e+00;2.559658874564828e+22;4.938147931137436e+01;NaN;1.064049030703159e+22;2.456993622562030e+01;NaN;2.211917570089195e+05
1.020406499924258e+00;2.241005953422687e+22;4.706895889529138e+01;NaN;8.720213047973542e+21;2.156587415453479e+01;NaN;1.910163134511469e+05
1.022271080706159e+00;2.231705027977720e+22;4.688240630385196e+01;NaN;6.654001073638634e+21;1.648143678464915e+01;NaN;1.941112853192789e+05
1.024352262275292e+00;1.875213758432689e+22;4.529450557852329e+01;NaN;8.587935809804761e+21;2.188692280170748e+01;NaN;1.628323883584573e+05
1.026360795729067e+00;2.095158113931016e+22;4.310854890403716e+01;NaN;9.580040271052457e+21;1.766033028076899e+01;NaN;1.384954459011292e+05
1.028516562606399e+00;1.664729746817646e+22;4.269524706708745e+01;NaN;8.315859520941449e+21;1.969563193385170e+01;NaN;1.286925322498103e+05
1.030872721695724e+00;1.285209145335114e+22;3.968875678698299e+01;NaN;8.620478295476042e+21;1.875950894572373e+01;NaN;1.084268044808512e+05
1.032946039400920e+00;1.333837284447705e+22;3.869924246370866e+01;NaN;7.067181281985406e+21;1.908179944657580e+01;NaN;1.070760461407738e+05
1.035702904828173e+00;1.049533916359648e+22;3.706753771945000e+01;NaN;6.312070609779657e+21;1.909190519961178e+01;NaN;8.171425047565109e+04
1.038018852774941e+00;9.743834278702197e+21;3.765764320585564e+01;NaN;5.943821831608583e+21;2.024173737044128e+01;NaN;8.197602018759909e+04
1.041123812734894e+00;7.545468512774278e+21;3.591992512298011e+01;NaN;5.836493076127221e+21;1.954918159904945e+01;NaN;5.627630784482263e+04
1.043526328654386e+00;6.354069599164121e+21;3.548301920913617e+01;NaN;4.946274585763764e+21;1.906828016125553e+01;NaN;5.729664076816937e+04
1.046841369894959e+00;2.844205004850571e+21;3.020250386787936e+01;NaN;4.657145935070248e+21;1.922199774781204e+01;NaN;2.574506156528446e+04
1.049616924720746e+00;4.356189752845469e+20;3.769033877934175e+01;NaN;5.756836250759896e+21;1.881929827685682e+01;NaN;1.430046954120938e+04
1.052286039138213e+00;9.240156440266826e+20;2.609541039005339e+01;NaN;4.308429929182066e+21;2.092253342428211e+01;NaN;1.383404978888578e+04
