# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-5.896600000000000105e-03,1.093100000000000000e+21,6.413799999999999502e-01,6.377599999999999936e-01,2.231100000000000000e+06,1.837300000000000000e+06,3.938500000000000000e+05,1.124300000000000000e+06,7.129400000000000000e+05,-7.584499999999999575e-02,4.216099999999999959e+00,-3.809099999999999930e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.760260000000000142e+23,8.232770000000000366e-01,2.243669999999999831e+01,5.902500000000000393e+21,5.789060000000000317e-01,1.334109999999999907e+00,5.166160000000000000e+20,4.621859999999999857e-01,1.147989999999999983e-01,3.728430000000000202e+23,9.967030000000000066e+21,5.625400000000000000e+20,9.979629999999999615e+23,6.702559999999999718e+01
-1.779100000000000039e-03,1.522099999999999869e+21,7.181999999999999496e-01,7.149600000000000399e-01,3.034900000000000000e+06,2.563800000000000000e+06,4.711200000000000000e+05,1.671100000000000000e+06,8.927500000000000000e+05,-3.015299999999999925e-02,4.217900000000000205e+00,-3.805400000000000116e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,6.138219999999999963e+23,8.942130000000000356e-01,4.784709999999999752e+01,3.080820000000000079e+22,6.908659999999999801e-01,1.676709999999999923e+00,6.421859999999999345e+20,5.617060000000000386e-01,1.557810000000000028e-01,5.361619999999999953e+23,1.483580000000000026e+22,7.887400000000000000e+20,1.504669999999999938e+24,9.057640000000000668e+01
3.612499999999999826e-03,1.978000000000000000e+21,8.755399999999999849e-01,8.785100000000000131e-01,4.377400000000000000e+06,3.768600000000000000e+06,6.088800000000000000e+05,2.548100000000000000e+06,1.220500000000000000e+06,6.197099999999999874e-04,4.220299999999999940e+00,-3.800499999999999989e+00,2.517100000000000000e+08,3.000700000000000000e+08,3.720300000000000000e+07,7.538500000000000512e+01,4.549799999999999756e+01,nan,1.038930000000000033e+24,1.087779999999999969e+00,8.099750000000000227e+01,4.257510000000000170e+22,8.028840000000000421e-01,3.762379999999999836e+00,1.097540000000000000e+21,5.821079999999999588e-01,2.108490000000000086e-01,7.822090000000000438e+23,2.215769999999999830e+22,1.131140000000000000e+21,1.863920000000000038e+24,1.245799999999999983e+02
1.273299999999999953e-02,2.727500000000000131e+21,1.133899999999999908e+00,1.137299999999999978e+00,6.798000000000000000e+06,5.950300000000000000e+06,8.476400000000000000e+05,4.140500000000000000e+06,1.809800000000000000e+06,2.164199999999999804e-03,4.224300000000000388e+00,-3.792300000000000004e+00,2.395600000000000000e+08,2.832300000000000000e+08,2.028000000000000000e+07,6.598499999999999943e+01,4.177199999999999847e+01,nan,1.567109999999999961e+24,1.416190000000000060e+00,1.269939999999999998e+02,2.255740000000000026e+22,9.460089999999999888e-01,2.047639999999999905e+00,9.270390000000000328e+20,7.403129999999999988e-01,2.484280000000000099e-01,1.227239999999999889e+24,2.895389999999999803e+22,1.727550000000000066e+21,1.849999999999999996e+24,1.180160000000000053e+02
2.539699999999999944e-02,2.052899999999999869e+21,1.735600000000000032e+00,1.792200000000000015e+00,7.138100000000000000e+06,5.905600000000000000e+06,1.232600000000000000e+06,4.390200000000000000e+06,1.515400000000000000e+06,4.276300000000000240e-03,4.229899999999999771e+00,-3.781000000000000139e+00,1.561000000000000000e+08,1.832200000000000000e+08,1.150800000000000000e+07,6.121600000000000108e+01,3.970700000000000074e+01,nan,1.841060000000000133e+24,2.235899999999999999e+00,1.380339999999999918e+02,6.849540000000000393e+21,1.250250000000000083e+00,1.148050000000000015e+00,5.938209999999999672e+20,9.964370000000000172e-01,2.911270000000000246e-01,1.177890000000000012e+24,1.065200000000000105e+22,1.488200000000000000e+21,7.712629999999999394e+23,5.006880000000000308e+01
4.150299999999999823e-02,1.373299999999999869e+21,2.140699999999999825e+00,2.252499999999999947e+00,6.056800000000000000e+06,4.706600000000000000e+06,1.350100000000000000e+06,3.543700000000000000e+06,1.162900000000000000e+06,6.895700000000000267e-03,4.236900000000000333e+00,-3.766500000000000181e+00,1.180900000000000000e+08,1.375400000000000000e+08,7.816100000000000000e+06,5.753099999999999881e+01,3.803499999999999659e+01,nan,1.026130000000000033e+24,2.786639999999999784e+00,9.259029999999999916e+01,2.888259999999999869e+21,1.303900000000000059e+00,7.180509999999999948e-01,3.646320000000000000e+20,1.100039999999999907e+00,3.523769999999999958e-01,8.563069999999999342e+23,9.877740000000000131e+21,1.960540000000000131e+21,2.529490000000000134e+23,1.736909999999999954e+01
6.101800000000000279e-02,9.820000000000000000e+20,2.245899999999999785e+00,2.398499999999999854e+00,4.523200000000000000e+06,3.368700000000000000e+06,1.154500000000000000e+06,2.664200000000000000e+06,7.044800000000000000e+05,9.978900000000000617e-03,4.245499999999999829e+00,-3.749000000000000110e+00,9.308500000000000000e+07,1.075300000000000000e+08,5.824500000000000000e+06,5.450200000000000244e+01,3.658599999999999852e+01,nan,7.149380000000000225e+23,2.908529999999999838e+00,7.022140000000000271e+01,2.421069999999999803e+21,1.158570000000000100e+00,9.981489999999999529e-01,1.984050000000000000e+20,1.066670000000000007e+00,2.080200000000000105e-01,6.082159999999999937e+23,1.197560000000000052e+22,1.192460000000000131e+21,1.433349999999999961e+23,1.131039999999999957e+01
8.376699999999999424e-02,8.280800000000000000e+20,2.312300000000000022e+00,2.542300000000000004e+00,3.917200000000000000e+06,2.949100000000000000e+06,9.680500000000000000e+05,2.295000000000000000e+06,6.541600000000000000e+05,1.347399999999999987e-02,4.255499999999999616e+00,-3.728499999999999925e+00,7.276600000000000000e+07,8.333800000000000000e+07,4.302400000000000000e+06,5.191400000000000148e+01,3.529200000000000159e+01,nan,5.928110000000000034e+23,3.131619999999999848e+00,6.508750000000000568e+01,2.696829999999999803e+21,5.944390000000000507e-01,7.147590000000000332e-01,1.420140000000000000e+20,1.002399999999999958e+00,1.376100000000000101e-01,5.017960000000000325e+23,1.506309999999999961e+22,8.140440000000000000e+20,1.126889999999999976e+23,9.730449999999999378e+00
1.097999999999999948e-01,5.549200000000000000e+20,2.380399999999999849e+00,2.599000000000000199e+00,2.677700000000000000e+06,1.889300000000000000e+06,7.883600000000000000e+05,1.553500000000000000e+06,3.358200000000000000e+05,1.732900000000000065e-02,4.266899999999999693e+00,-3.705099999999999838e+00,5.580700000000000000e+07,6.334800000000000000e+07,3.112100000000000000e+06,4.963000000000000256e+01,3.411999999999999744e+01,nan,3.523830000000000233e+23,3.236689999999999845e+00,4.021949999999999648e+01,1.971310000000000066e+21,7.056230000000000002e-01,4.688080000000000025e-01,7.651480000000000000e+19,9.667980000000000462e-01,1.130869999999999931e-01,3.274149999999999751e+23,1.120560000000000105e+22,6.636400000000000000e+20,6.501710000000000328e+22,5.002360000000000362e+00
1.391900000000000082e-01,3.917100000000000000e+20,2.434899999999999842e+00,2.768800000000000150e+00,2.097600000000000000e+06,1.416600000000000000e+06,6.810000000000000000e+05,1.114500000000000000e+06,3.021200000000000000e+05,2.149300000000000169e-02,4.279799999999999827e+00,-3.678700000000000081e+00,4.220000000000000000e+07,4.746500000000000000e+07,2.226300000000000000e+06,4.756300000000000239e+01,3.304200000000000159e+01,nan,2.109039999999999937e+23,3.364939999999999820e+00,2.820880000000000010e+01,4.367030000000000066e+21,5.407699999999999729e-01,5.570509999999999629e-01,6.543660000000000000e+19,1.045009999999999994e+00,1.307979999999999976e-01,2.246830000000000034e+23,8.794089999999999934e+21,6.608369999999999672e+20,4.550990000000000328e+22,4.752360000000000362e+00
