# x,ne,Te,Ti,Wtot,Wpart,Wrad,Wpls,Wneut,xMP,Rclfc,Zclfc,Wpar_xpt,WWpar,WWtrg,Lcnnt,Lcnnx,f0,D_flux_atm,D_temp_atm,D_pres_atm,He_flux_atm,He_temp_atm,He_pres_atm,Ne_flux_atm,Ne_temp_atm,Ne_pres_atm,D_flux_ion,He_flux_ion,Ne_flux_ion,D2_flux_mol,D2_pres_mol
-6.946599999999999824e-03,1.034900000000000000e+21,5.459000000000000519e-01,5.384299999999999642e-01,2.290300000000000000e+06,2.007400000000000000e+06,2.829400000000000000e+05,7.630700000000000000e+05,1.244300000000000000e+06,-7.584499999999999575e-02,5.554299999999999571e+00,-4.399799999999999933e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.203739999999999984e+23,6.052650000000000530e-01,1.758510000000000062e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.740360000000000000e+21,4.017709999999999892e-01,2.562820000000000098e-01,2.825560000000000094e+23,9.129569999999999672e+20,9.645779999999999345e+20,1.573699999999999957e+24,1.038119999999999976e+02
-2.076099999999999994e-03,1.215800000000000000e+21,6.017200000000000326e-01,5.993500000000000494e-01,2.365100000000000000e+06,2.016500000000000000e+06,3.485300000000000000e+05,9.466800000000000000e+05,1.069900000000000000e+06,-3.015299999999999925e-02,5.554299999999999571e+00,-4.394899999999999807e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,3.536870000000000003e+23,7.069020000000000303e-01,3.221909999999999741e+01,1.743370000000000000e+20,2.561749999999999861e-01,6.047420000000000399e-03,1.758840000000000000e+21,3.730229999999999935e-01,2.822939999999999894e-01,3.460509999999999803e+23,1.198649999999999934e+21,1.210419999999999869e+21,1.808739999999999882e+24,1.188139999999999930e+02
4.332400000000000140e-03,1.434800000000000000e+21,5.695500000000000007e-01,5.644500000000000073e-01,3.325300000000000000e+06,2.829400000000000000e+06,4.959200000000000000e+05,1.078300000000000000e+06,1.751100000000000000e+06,6.197099999999999874e-04,5.554299999999999571e+00,-4.388499999999999623e+00,6.992600000000000000e+08,7.053600000000000000e+08,3.289400000000000000e+07,6.857599999999999341e+01,4.055799999999999983e+01,nan,7.199160000000000472e+23,6.975799999999999779e-01,5.356629999999999825e+01,8.359210000000000000e+19,3.553200000000000247e-01,4.544430000000000344e-03,2.045809999999999934e+21,4.041150000000000020e-01,2.788950000000000040e-01,3.893510000000000128e+23,1.471160000000000000e+21,1.404179999999999869e+21,3.593379999999999798e+24,2.142870000000000061e+02
1.529900000000000010e-02,1.885500000000000131e+21,6.745999999999999774e-01,6.705200000000000049e-01,4.508700000000000000e+06,3.759400000000000000e+06,7.492600000000000000e+05,1.568000000000000000e+06,2.191400000000000000e+06,2.164199999999999804e-03,5.554299999999999571e+00,-4.377500000000000391e+00,4.001800000000000000e+08,4.041400000000000000e+08,1.934800000000000000e+07,5.983100000000000307e+01,3.725699999999999790e+01,nan,1.609829999999999969e+24,8.002709999999999546e-01,8.160559999999999548e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,2.692749999999999803e+21,4.401900000000000257e-01,3.450790000000000246e-01,5.494170000000000165e+23,2.206409999999999934e+21,1.940520000000000000e+21,3.917030000000000204e+24,2.127779999999999916e+02
3.068500000000000047e-02,2.940999999999999738e+21,1.009400000000000075e+00,1.016699999999999937e+00,5.789800000000000000e+06,5.048400000000000000e+06,7.414400000000000000e+05,3.258200000000000000e+06,1.790200000000000000e+06,4.276300000000000240e-03,5.554299999999999571e+00,-4.362099999999999866e+00,2.520000000000000000e+08,2.549100000000000000e+08,1.222000000000000000e+07,5.535999999999999943e+01,3.539500000000000313e+01,nan,1.582569999999999909e+24,1.321439999999999948e+00,1.228910000000000053e+02,1.296640000000000000e+22,8.589020000000000543e-01,1.230180000000000051e+00,2.431789999999999803e+21,6.270010000000000305e-01,5.011799999999999589e-01,1.058580000000000003e+24,3.268370000000000197e+21,2.743740000000000131e+21,2.615959999999999809e+24,1.587500000000000000e+02
5.036500000000000005e-02,1.879600000000000000e+21,1.785700000000000065e+00,1.853299999999999947e+00,5.464900000000000000e+06,4.644500000000000000e+06,8.203500000000000000e+05,3.324100000000000000e+06,1.320400000000000000e+06,6.895700000000000267e-03,5.554299999999999571e+00,-4.342399999999999594e+00,1.633500000000000000e+08,1.655900000000000000e+08,7.714500000000000000e+06,5.190999999999999659e+01,3.388400000000000034e+01,nan,1.396519999999999939e+24,2.318690000000000140e+00,1.225169999999999959e+02,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,4.743000000000000000e+20,1.127439999999999998e+00,3.510769999999999724e-01,8.879099999999999691e+23,9.464510000000000328e+20,1.788769999999999934e+21,5.131589999999999709e+23,3.803690000000000282e+01
7.449000000000000066e-02,1.066700000000000000e+21,1.987900000000000000e+00,2.107099999999999973e+00,3.586400000000000000e+06,2.649300000000000000e+06,9.371300000000000000e+05,1.964000000000000000e+06,6.852900000000000000e+05,9.978900000000000617e-03,5.554299999999999571e+00,-4.318299999999999805e+00,1.209200000000000000e+08,1.228900000000000000e+08,5.389400000000000000e+06,4.905100000000000193e+01,3.257399999999999807e+01,nan,5.020199999999999738e+23,2.733989999999999920e+00,4.993569999999999709e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,1.647340000000000000e+20,1.091010000000000035e+00,2.540859999999999785e-01,5.079440000000000063e+23,4.421209999999999672e+20,1.427070000000000066e+21,1.627480000000000094e+23,1.175779999999999959e+01
1.032700000000000007e-01,7.934200000000000000e+20,2.102500000000000036e+00,2.359900000000000109e+00,2.904200000000000000e+06,2.011100000000000000e+06,8.931200000000000000e+05,1.535400000000000000e+06,4.756900000000000000e+05,1.347399999999999987e-02,5.554299999999999571e+00,-4.289500000000000313e+00,9.352300000000000000e+07,9.532400000000000000e+07,3.916300000000000000e+06,4.657699999999999818e+01,3.139699999999999847e+01,nan,3.096729999999999830e+23,2.926719999999999988e+00,3.363620000000000232e+01,0.000000000000000000e+00,8.344799999999999995e-01,7.752309999999999757e-02,1.122940000000000000e+20,1.122239999999999904e+00,3.121880000000000210e-01,3.725080000000000178e+23,6.060630000000000328e+20,1.540529999999999934e+21,7.224119999999999633e+22,7.327009999999999579e+00
1.369900000000000007e-01,5.870900000000000000e+20,2.363300000000000178e+00,2.696400000000000130e+00,2.376500000000000000e+06,1.600400000000000000e+06,7.760100000000000000e+05,1.241600000000000000e+06,3.588600000000000000e+05,1.732900000000000065e-02,5.554299999999999571e+00,-4.255799999999999805e+00,7.151900000000000000e+07,7.313300000000000000e+07,2.790000000000000000e+06,4.437199999999999989e+01,3.032199999999999918e+01,nan,2.614579999999999995e+23,3.176079999999999792e+00,3.548680000000000234e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,9.766020000000000000e+19,1.243120000000000003e+00,2.460829999999999962e-01,2.769330000000000008e+23,7.960840000000000000e+20,1.407249999999999934e+21,5.962419999999999659e+22,5.741699999999999804e+00
1.764199999999999935e-01,4.106800000000000000e+20,2.523499999999999854e+00,2.932500000000000107e+00,1.997400000000000000e+06,1.273200000000000000e+06,7.241900000000000000e+05,9.214900000000000000e+05,3.517500000000000000e+05,2.149300000000000169e-02,5.554299999999999571e+00,-4.216400000000000148e+00,5.376900000000000000e+07,5.517500000000000000e+07,1.893800000000000000e+06,4.235499999999999687e+01,2.932999999999999829e+01,nan,1.615600000000000105e+23,3.805639999999999912e+00,2.197599999999999909e+01,0.000000000000000000e+00,1.000010000000000019e-06,0.000000000000000000e+00,6.752030000000000000e+19,1.061919999999999975e+00,2.444699999999999929e-01,1.883410000000000050e+23,9.358590000000000328e+20,1.145449999999999934e+21,2.789839999999999895e+22,2.579819999999999780e+00
