s_cell [m];flux_inc_ion [m-2.s-1];E_imp_ion [eV];alpha_V_ion [deg];flux_inc_atom [m-2.s-1];E_imp_atom [eV];alpha_V_atom [deg];net_energy_flux [W.m-2]
6.957997358524409e-01;4.731521955402322e+20;2.475930571735523e+01;NaN;2.330783194538314e+21;2.220870136858537e+01;NaN;8.141734705169138e+03
6.999294065045440e-01;1.226810079614808e+21;2.054954931457852e+01;NaN;2.071750375341858e+21;2.044748450840993e+01;NaN;1.033179494575976e+04
7.046036503701563e-01;9.877509670417088e+20;2.376791780090708e+01;NaN;2.240509548986270e+21;2.228172140325571e+01;NaN;1.095911952222458e+04
7.104451952030111e-01;9.833543908713601e+20;2.158630906567021e+01;NaN;2.455320491845105e+21;2.204170522713411e+01;NaN;1.162335344825438e+04
7.138966885644596e-01;2.375722998658477e+21;2.033972408530363e+01;NaN;2.481357108764511e+21;1.880976045134977e+01;NaN;1.534784747724859e+04
7.182432415040987e-01;1.873073457588258e+21;2.782112958419433e+01;NaN;3.180448090902931e+21;1.678383004319763e+01;NaN;1.688851668548641e+04
7.227039321185542e-01;2.059243834812546e+21;2.428853660397386e+01;NaN;3.147256255351965e+21;1.868052679110069e+01;NaN;1.682744933722463e+04
7.257217095519308e-01;3.514949509201933e+21;2.602475263163459e+01;NaN;3.670947103305370e+21;1.955969905043418e+01;NaN;2.362813881423048e+04
7.309124404001006e-01;3.555258794340086e+21;2.873113701101670e+01;NaN;3.726190100269934e+21;1.813829861137745e+01;NaN;2.534198963341180e+04
7.392767341320698e-01;5.167087364479646e+21;3.003783612498091e+01;NaN;4.646627162082566e+21;1.901432413938671e+01;NaN;3.780216251073643e+04
7.476580380599591e-01;8.683727546617585e+21;2.777265134743827e+01;NaN;6.228745767305310e+21;1.960463425343083e+01;NaN;5.619011049581486e+04
7.547028537389382e-01;1.234913978792001e+22;2.736145454557109e+01;NaN;7.806301282208604e+21;1.765107220030889e+01;NaN;7.414973921202157e+04
7.606597497237264e-01;1.571825642525981e+22;2.729484103635677e+01;NaN;9.519096764160616e+21;1.874647397981252e+01;NaN;9.654198846236734e+04
7.657531186515272e-01;1.935115194215009e+22;2.645381319559052e+01;NaN;1.153235454873131e+22;1.826783990852338e+01;NaN;1.109438060325246e+05
7.699995984224914e-01;2.298073722180615e+22;2.648456202888655e+01;NaN;1.317895260569869e+22;1.692991590972566e+01;NaN;1.287406992788340e+05
7.732995875768670e-01;2.685927217552649e+22;2.606828764933026e+01;NaN;1.511282603417887e+22;1.685514440312715e+01;NaN;1.479629766631154e+05
7.757792307381750e-01;2.986881189817583e+22;2.453760611288952e+01;NaN;1.589707914859097e+22;1.868608982683373e+01;NaN;1.622001640007557e+05
7.781651986040994e-01;3.093700641723473e+22;2.624610845875835e+01;NaN;1.742662762245440e+22;1.933840011225634e+01;NaN;1.699597506441108e+05
7.809578364250076e-01;3.158676897243292e+22;2.623903585081819e+01;NaN;2.049240999674793e+22;1.699559709884683e+01;NaN;1.779994499106130e+05
7.838487328758749e-01;3.398494825589597e+22;2.678085100427118e+01;NaN;2.230173183036643e+22;1.667724481204011e+01;NaN;1.905266258080769e+05
7.869855628995210e-01;3.491390446941804e+22;2.709021779364708e+01;NaN;2.394750768219749e+22;1.869824476384561e+01;NaN;2.054030032076440e+05
7.904037845192172e-01;3.746498611564085e+22;2.668124119158548e+01;NaN;2.595132390559553e+22;1.814802125503209e+01;NaN;2.210573752092319e+05
7.939471374889502e-01;3.932581206470786e+22;2.807464108732017e+01;NaN;2.846965642207940e+22;1.807584942918021e+01;NaN;2.331312334180888e+05
7.975090120093709e-01;4.322219072370463e+22;2.789478603169784e+01;NaN;2.910540787414022e+22;1.855579835788143e+01;NaN;2.621439675581229e+05
8.011264668496416e-01;4.690643754770981e+22;2.823790656650884e+01;NaN;3.208812481181222e+22;1.899076020883344e+01;NaN;2.810407092745950e+05
8.049890280430786e-01;4.805108182368334e+22;2.707332213281448e+01;NaN;3.492008323727472e+22;1.820860617417086e+01;NaN;2.861418863367317e+05
8.091930285177138e-01;4.847706799183980e+22;2.849790492557146e+01;NaN;3.549499714811761e+22;1.826795814926009e+01;NaN;2.927657013233749e+05
8.136823963570012e-01;5.249377800191344e+22;2.824866967076246e+01;NaN;3.617368697475621e+22;1.774059252165588e+01;NaN;3.171637126250360e+05
8.183225076652748e-01;5.124308105205165e+22;2.922779297669353e+01;NaN;3.311099457585245e+22;1.888648752325349e+01;NaN;3.225511145334473e+05
8.231650781773978e-01;4.835910267412240e+22;3.050041545272954e+01;NaN;2.968311317096637e+22;1.957858989504872e+01;NaN;3.088909589898703e+05
8.282210739282279e-01;3.549818218926499e+22;3.230860507056723e+01;NaN;2.397869126563346e+22;1.857308713466697e+01;NaN;2.399297460229857e+05
8.323762231342043e-01;2.559996666328331e+22;2.747553479568543e+01;NaN;1.753793876004387e+22;2.004658229541697e+01;NaN;1.725745000483099e+05
8.360874887662642e-01;1.604924369575097e+22;2.875942085130248e+01;NaN;1.430151214016518e+22;1.912964784178043e+01;NaN;1.147244131457085e+05
8.416142959085945e-01;7.731764968348326e+21;2.492141530121375e+01;NaN;1.018957066144295e+22;1.898106092347744e+01;NaN;6.146171612628028e+04
8.488421547521909e-01;3.278402353586272e+21;2.335219233703562e+01;NaN;7.753515703649004e+21;1.677309330113360e+01;NaN;3.488331320149680e+04
8.530832353991449e-01;3.786772509236344e+21;2.307566579259904e+01;NaN;6.062837796699533e+21;2.153057615803684e+01;NaN;3.259522932961992e+04
8.537918099392514e-01;0.000000000000000e+00;NaN;NaN;6.339127975598501e+21;1.928917604161032e+01;NaN;1.739238702771699e+04
8.543706180516218e-01;0.000000000000000e+00;NaN;NaN;6.366802943457205e+21;2.015918779964830e+01;NaN;1.779743486488769e+04
