              s_cell [m];   flux_inc_ion [m-2.s-1];   flux_imp_ion [m-2.s-1];           E_imp_ion [eV];        alpha_V_ion [deg];  flux_inc_atom [m-2.s-1];  flux_imp_atom [m-2.s-1];          E_imp_atom [eV];       alpha_V_atom [deg];  net_energy_flux [W.m-2]
   8.732251368559831e-01;    2.564610831430613e+19;    0.000000000000000e+00;    5.414865115217416e+01;    5.574067153785505e+01;    7.587208130754934e+20;    1.362771495527624e+20;    1.365338540482948e+02;    3.903204001463939e+01;    7.174362882281559e+03
   8.745222506607646e-01;    2.651332374551636e+19;    0.000000000000000e+00;    5.496476577719915e+01;    8.207876374774224e+01;    8.131939812146602e+20;    1.643355487740242e+20;    1.587005383099302e+02;    3.971499865871473e+01;    8.871760732285869e+03
   8.758504333996870e-01;    1.469138516040226e+20;    4.930907950560094e+19;    6.629602109928857e+01;    5.099612531017152e+01;    7.298804591278133e+20;    1.046820747652639e+20;    1.114318165407771e+02;    3.596494223044821e+01;    5.235465040695271e+03
   8.771968010637343e-01;    5.876097542938794e+19;    0.000000000000000e+00;    5.528023217286454e+01;    4.824302032836880e+01;    6.991018591185168e+20;    1.208369221662614e+20;    1.441890192206004e+02;    4.176267551494075e+01;    5.303179790270355e+03
   8.785721648600908e-01;    8.763703130723051e+19;    1.876242102152425e+19;    8.744950046948841e+01;    5.497873264964861e+01;    8.921536186739292e+20;    1.045985113255405e+20;    1.773664380679802e+02;    3.879770601703596e+01;    8.978593260966956e+03
   8.795184258206146e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.828825321435261e+20;    1.729489357517361e+20;    1.072196048855805e+02;    3.924140044289701e+01;    8.078740895998551e+03
   8.802294072647980e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.859758954555998e+20;    1.730925113567074e+20;    1.632213850696188e+02;    3.348579660123993e+01;    7.709283632480244e+03
   8.814332559537018e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.391362463731432e+20;    1.861673801713714e+20;    1.760885422193799e+02;    4.055186063360791e+01;    1.275165060485632e+04
   8.829269041317802e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    8.418755436666813e+20;    1.232335322958694e+20;    1.574391393288947e+02;    3.704078070881209e+01;    9.058557808257165e+03
   8.844577201344603e-01;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    0.000000000000000e+00;    9.163945443184407e+20;    1.527604447071903e+20;    1.586609529477714e+02;    3.886213584538130e+01;    1.095651646770210e+04
